Date,Open,High,Low,Close,Volume
2010/2/1,72.699997,73.739998,72.139999,73.580002,11828500
2010/2/2,73.739998,74.580002,73,74.449997,12947600
2010/2/3,74.18,74.360001,73.050003,73.209999,14540300
2010/2/4,72.559998,72.830002,71.059998,71.370003,15248400
2010/2/5,71,71.239998,69.550003,71.18,17307000
2010/2/8,71.239998,71.449997,70.129997,70.129997,11595600
2010/2/9,70.889999,72.029999,70.82,71.309998,13051900
2010/2/10,71.019997,71.230003,70,70.75,11618700
2010/2/11,70.720001,72.110001,70.309998,71.730003,11273800
2010/2/12,70.540001,71.300003,70.169998,71.010002,13809100
2010/2/16,71.989998,73.32,71.93,72.989998,14230800
2010/2/17,73.220001,73.43,72.459999,72.839996,8728000
2010/2/18,72.690002,73.720001,72.339996,73.620003,9848000
2010/2/19,73.440002,74.379997,73.209999,74.050003,13113200
2010/2/22,74.169998,74.220001,72.790001,72.959999,8683400
2010/2/23,72.599998,72.93,71.769997,72.040001,11907600
2010/2/24,72.120003,72.449997,71.610001,72.339996,8921000
2010/2/25,71.190002,72.190002,70.779999,72.110001,11761100
2010/2/26,72.190002,72.690002,71.82,72.300003,8978800
2010/3/1,72.629997,73.18,72.389999,72.809998,7428100
2010/3/2,73.18,73.910004,73.010002,73.32,9257200
2010/3/3,73.629997,73.849998,73.059998,73.129997,8194200
2010/3/4,73.07,73.5,72.709999,73.080002,9419900
2010/3/5,73.550003,74.470001,73.510002,74.300003,8750200
2010/3/8,74.489998,74.879997,74.150002,74.639999,6474000
2010/3/9,74.300003,74.910004,74,74.300003,8480100
2010/3/10,74.139999,74.330002,73.25,73.959999,14652900
2010/3/11,74.07,74.089996,73.550003,73.989998,7024700
2010/3/12,74.169998,74.239998,73.510002,73.720001,7681900
2010/3/15,73.510002,73.629997,72.849998,73.57,8807600
2010/3/16,73.900002,74.120003,73.410004,73.980003,9828300
2010/3/17,74.18,75.059998,74.160004,74.669998,10292000
2010/3/18,74.849998,75.07,74.239998,74.760002,9916100
2010/3/19,74.980003,75.160004,73.889999,74.980003,16610700
2010/3/22,74.169998,74.879997,74,74.459999,9317900
2010/3/23,74.43,74.790001,74.029999,74.769997,8006700
2010/3/24,74.269997,74.5,73.779999,73.93,8997600
2010/3/25,74.400002,74.620003,73.690002,73.800003,10510300
2010/3/26,74,74.879997,73.82,74.43,10411500
2010/3/29,74.610001,75.440002,74.489998,75.230003,8818000
2010/3/30,75.269997,75.5,74.959999,75.300003,6378100
2010/3/31,75.470001,76.139999,75.080002,75.830002,9875500
2010/4/1,76.400002,77.129997,76.339996,76.690002,7859300
2010/4/5,76.970001,77.75,76.730003,77.660004,8108600
2010/4/6,77.57,78,77.199997,77.879997,6490000
2010/4/7,77.669998,77.830002,76.959999,77.370003,9431400
2010/4/8,76.93,78,76.629997,77.660004,6880500
2010/4/9,78.040001,79.620003,78,79.5,9804100
2010/4/12,79.5,80.800003,79.370003,80.43,10000000
2010/4/13,80.419998,80.57,79.269997,80.209999,7978500
2010/4/14,80.459999,80.610001,80.029999,80.580002,7290400
