Date,Open,High,Low,Close,Volume
2010/2/1,108.120003,108.160004,107.160004,107.199997,1228200
2010/2/2,106.940002,107.32,105.660004,105.860001,1247400
2010/2/3,106.339996,106.68,105.779999,106.360001,845200
2010/2/4,107.220001,109.699997,107.199997,109.620003,2303000
2010/2/5,109.559998,111.620003,109.239998,109.339996,3450600
2010/2/8,109.360001,110.300003,108.739998,110.239998,1931400
2010/2/9,108.940002,109.800003,107.839996,108.839996,2407300
2010/2/10,108.959999,109.940002,108.440002,109.019997,1413100
2010/2/11,109.139999,109.839996,107.760002,107.919998,1314000
2010/2/12,109.059998,109.480003,107.959999,108.019997,1622000
2010/2/16,107.18,107.559998,106.139999,106.279999,1269600
2010/2/17,105.68,106.239998,105.580002,105.779999,1319800
2010/2/18,105.980003,106,104.879997,105.120003,1262900
2010/2/19,105.379997,105.620003,104.5,104.860001,1188300
2010/2/22,104.480003,105.160004,104.480003,104.860001,793900
2010/2/23,105.139999,106.419998,104.800003,106.139999,1269100
2010/2/24,105.82,106.080002,105,105.18,1004000
2010/2/25,106.739998,106.940002,105.279999,105.32,1605200
2010/2/26,105.239998,105.839996,104.900002,105.300003,858600
2010/3/1,104.800003,104.800003,104.040001,104.160004,877100
2010/3/2,103.68,104,103.32,103.879997,1461100
2010/3/3,103.540001,103.959999,103.099998,103.760002,689700
2010/3/4,103.639999,103.980003,103.260002,103.400002,517000
2010/3/5,102.739998,102.959999,101.82,101.879997,1289300
2010/3/8,101.879997,102.059998,101.660004,101.879997,967400
2010/3/9,102.239998,102.260002,101.260002,101.699997,831700
2010/3/10,101.68,101.739998,100.980003,101.239998,1071500
2010/3/11,101.519997,101.82,100.839996,100.879997,615000
2010/3/12,100.379997,101.099998,100.379997,100.839996,745100
2010/3/15,101.019997,101.580002,100.739998,100.82,533000
2010/3/16,100.5,100.779999,99.879997,99.959999,871300
2010/3/17,99.68,99.68,99.040001,99.360001,1152000
2010/3/18,99.360001,99.82,99.239998,99.440002,621200
2010/3/19,99.980003,100.32,99.080002,99.980003,810200
2010/3/22,100.540001,100.599998,99.239998,99.5,1007100
2010/3/23,99.239998,99.580002,98.620003,98.660004,838100
2010/3/24,99.040001,99.379997,98.760002,99.160004,677200
2010/3/25,98.480003,99.440002,98.080002,99.339996,939000
2010/3/26,99.120003,99.779999,98.660004,99.300003,824000
2010/3/29,98.900002,99.059998,98.559998,98.760002,698400
2010/3/30,98.620003,99.099998,98.300003,98.68,733600
2010/3/31,99.059998,99.360001,98.599998,99.019997,487300
2010/4/1,98.300003,98.940002,97.959999,98.339996,775000
2010/4/5,97.919998,98.199997,97.459999,97.5,797400
2010/4/6,97.760002,97.879997,97.080002,97.279999,447100
2010/4/7,97.459999,98.260002,97.239998,97.839996,545600
2010/4/8,98.220001,98.459999,97.360001,97.480003,670900
2010/4/9,97.279999,97.459999,96.839996,96.839996,555900
2010/4/12,96.699997,96.839996,96.459999,96.660004,593400
2010/4/13,96.800003,97.300003,96.480003,96.620003,457100
2010/4/14,96.239998,96.400002,95.5,95.519997,930600
2010/4/15,95.639999,95.699997,95.239998,95.419998,569900
2010/4/16,95.779999,97.440002,95.620003,96.940002,1750100
2010/4/19,97.239998,97.68,96.519997,96.620003,1064700
2010/4/20,96,96.300003,95.620003,95.739998,761200
2010/4/21,95.639999,96.440002,95.440002,95.879997,596800
2010/4/22,96.580002,97.120003,95.5,95.639999,951100
2010/4/23,95.639999,95.919998,94.940002,94.980003,681900
2010/4/26,94.919998,95.419998,94.739998,95.32,650600
2010/4/27,95.879997,97.779999,95.379997,97.580002,1769700
2010/4/28,97.120003,97.720001,96.620003,96.919998,2525100
2010/4/29,96.220001,96.279999,95.440002,95.660004,1223800
2010/4/30,95.639999,97.279999,95.519997,97.279999,1311100
2010/5/3,96.779999,96.919998,95.739998,95.940002,875800
2010/5/4,97.059998,98.739998,97.059998,98.239998,2147300
2010/5/5,99.120003,99.559998,98.019997,98.839996,3197900
2010/5/6,99.300003,109.199997,98.68,102.120003,6330000
2010/5/7,102.419998,105.199997,101.400002,103.82,6457300
2010/5/10,99.360001,100.220001,98.599998,99.040001,3760600
2010/5/11,100,100.120003,98.040001,99.379997,2205900
2010/5/12,98.959999,99.120003,97.82,97.980003,1372400
2010/5/13,98.18,99.239998,97.739998,99.160004,1910900
2010/5/14,99.980003,101.860001,99.760002,100.980003,2513200
2010/5/17,100.739998,102.839996,100.419998,100.839996,2275700
2010/5/18,100.059998,102.620003,99.760002,102.239998,2345000
2010/5/19,102.839996,104.139999,101.940002,102.879997,3582900
2010/5/20,105.059998,106.82,104.580002,106.82,4973500
2010/5/21,108.400002,108.699997,104.900002,105.239998,5169100
2010/5/24,105.739998,106.639999,104.919998,106.519997,2142000
2010/5/25,109.160004,109.860001,106.379997,106.440002,4815900
2010/5/26,105.620003,107.379997,104.760002,107.120003,3185400
2010/5/27,105,105.440002,103.419998,103.459999,2542200
2010/5/28,103.559998,105.220001,103.540001,104.699997,1661400
2010/6/1,105.739998,106.660004,104.220001,106.580002,2424900
2010/6/2,105.980003,106.459999,103.760002,103.800003,1689800
2010/6/3,103.400002,104.419998,103.059998,103.339996,1958200
2010/6/4,105.339996,107.339996,104.699997,107.059998,2807000
2010/6/7,106.699997,108.459999,106.260002,108.419998,2197000
2010/6/8,108.260002,109.239998,107,107.300003,3476100
2010/6/9,106.599998,108.18,105.519997,107.779999,2360700
2010/6/10,105.940002,106.120003,104.480003,104.580002,1891800
2010/6/11,105.519997,105.580002,104.019997,104.059998,1331700
2010/6/14,103.300003,104.339996,102.68,104.220001,2231000
2010/6/15,103.459999,103.660004,101.760002,101.879997,1540200
2010/6/16,102.379997,102.540001,101.459999,101.860001,1995200
2010/6/17,101.540001,102.68,101.519997,101.739998,1548100
2010/6/18,101.519997,101.919998,101.239998,101.620003,722400
2010/6/21,100.339996,102.459999,100.239998,101.919998,1803200
2010/6/22,101.919998,103.739998,101.440002,103.559998,1919300
2010/6/23,103.559998,104.620003,103.160004,103.900002,2172800
2010/6/24,104.440002,105.900002,104.300003,105.620003,2209000
2010/6/25,105.339996,106.279999,104.660004,105.160004,1751000
2010/6/28,105.019997,105.879997,104.760002,105.540001,1141600
2010/6/29,107.019997,109.419998,106.980003,108.800003,3993200
2010/6/30,109.120003,110.220001,108.099998,110.019997,3423100
2010/7/1,109.879997,112.080002,109.559998,110.300003,6815500
2010/7/2,109.919998,111.540001,109.639999,110.879997,3392600
2010/7/6,109.32,111.239998,108.540001,110.18,3057100
2010/7/7,109.940002,110.019997,106.559998,106.720001,3064700
2010/7/8,105.82,106.860001,105.480003,105.620003,2006800
2010/7/9,105.639999,105.860001,104.839996,104.900002,1815700
2010/7/12,105.199997,105.620003,104.559998,104.739998,1576700
2010/7/13,103.68,103.900002,102.779999,103.199997,3178000
2010/7/14,103.480003,103.940002,102.800003,103.199997,1844600
2010/7/15,103.239998,104.599998,102.82,103.099998,2990600
2010/7/16,103.720001,106.199997,103.639999,106.040001,3031300
2010/7/19,105.620003,106.440002,105.040001,105.400002,1898500
2010/7/20,106.82,106.839996,104.120003,104.260002,2488300
2010/7/21,103.660004,105.919998,103.599998,105.519997,2254900
2010/7/22,104.300003,104.300003,102.699997,103.160004,2409200
2010/7/23,103.379997,103.660004,102.099998,102.279999,2949900
2010/7/26,102.059998,102.360001,101.059998,101.120003,3196200
2010/7/27,100.599998,101.580002,100.5,101.18,2327100
2010/7/28,101.360001,102.199997,101.099998,101.860001,1639600
2010/7/29,101.220001,103.160004,100.940002,102.339996,2318700
2010/7/30,103.379997,103.599998,101.82,102.32,2401500
2010/8/2,100.760002,101.18,99.860001,99.980003,2529300
2010/8/3,100.260002,100.839996,100,100.459999,1296500
2010/8/4,100.220001,100.559998,99.720001,99.800003,1308000
2010/8/5,100.480003,100.620003,99.919998,100,1147600
2010/8/6,100.959999,101.660004,100.239998,100.32,1784100
2010/8/9,99.860001,100.419998,99.639999,99.779999,717100
2010/8/10,100.660004,101.239998,99.839996,100.339996,1273600
2010/8/11,101.919998,103.279999,101.900002,103.080002,3085700
2010/8/12,104.699997,104.779999,103.400002,103.760002,3894300
2010/8/13,104.099998,104.18,103.459999,104.080002,1524800
2010/8/16,104.760002,105.160004,103.779999,104.099998,1698200
