Date,Open,High,Low,Close,Volume
2010/2/1,57.799999,57.919998,57.360001,57.91,4295300
2010/2/2,58,58.880001,57.599998,58.77,5231500
2010/2/3,58.59,58.950001,58.380001,58.419998,5269100
2010/2/4,58.169998,58.939999,58.099998,58.52,5962700
2010/2/5,58.59,58.900002,58.07,58.580002,4793600
2010/2/8,58.27,58.779999,58.130001,58.139999,3319800
2010/2/9,58.799999,59,58.200001,58.759998,3486900
2010/2/10,58.66,59.32,58.380001,59.150002,4520500
2010/2/11,58.860001,59.779999,58.669998,59.669998,4030800
2010/2/12,59.189999,59.419998,58.950001,59.279999,4337600
2010/2/16,59.619999,60.849998,59.299999,60.669998,4052300
2010/2/17,60.790001,61.299999,60.740002,61.049999,2663100
2010/2/18,60.93,61.130001,60.580002,60.959999,2275200
2010/2/19,60.73,61.360001,60.66,61.139999,2510100
2010/2/22,61.400002,61.450001,60.689999,60.790001,3004300
2010/2/23,60.639999,60.919998,60.41,60.509998,3081200
2010/2/24,60.799999,61.220001,60.610001,60.860001,2908200
2010/2/25,60.290001,61.52,60.209999,61.400002,3534000
2010/2/26,61.360001,61.470001,60.779999,60.970001,3681600
2010/3/1,61,62.110001,60.68,61.650002,4031100
2010/3/2,62.119999,62.119999,61.200001,61.380001,4126100
2010/3/3,59.75,61.580002,59.639999,60.68,10153500
2010/3/4,60.75,61.16,60.48,60.799999,3286100
2010/3/5,60.849998,60.970001,60.5,60.68,3514800
2010/3/8,60.540001,61,60.52,60.669998,3020400
2010/3/9,60.380001,60.57,60.040001,60.130001,3187000
2010/3/10,60.209999,60.41,59.759998,59.84,3248400
2010/3/11,59.779999,60.060001,59.77,59.900002,3957200
2010/3/12,59.880001,60.48,59.810001,60.169998,3938700
2010/3/15,60.07,60.619999,60.049999,60.549999,2584700
2010/3/16,60.709999,60.959999,60.59,60.91,2480600
2010/3/17,60.959999,61.459999,60.900002,61.330002,3115300
2010/3/18,61,61.43,60.919998,61.27,3156200
2010/3/19,61.380001,61.5,60.490002,60.720001,4687500
2010/3/22,60.540001,61.09,60.43,60.880001,2369000
2010/3/23,60.759998,60.889999,60.360001,60.759998,2937800
2010/3/24,60.540001,60.740002,60.02,60.07,2910000
2010/3/25,60.419998,60.419998,60.009998,60.049999,2591500
2010/3/26,60.25,60.419998,59.91,60.130001,2302000
2010/3/29,60.139999,60.43,59.959999,60.139999,2375500
2010/3/30,60.27,60.5,60.040001,60.169998,2121500
2010/3/31,60.060001,60.110001,59.68,59.709999,2548200
2010/4/1,59.73,60.299999,59.709999,60.139999,2638300
2010/4/5,60.330002,60.869999,60,60.82,2146100
2010/4/6,61.049999,61.849998,60.75,61.740002,3589100
2010/4/7,61.650002,61.959999,61.5,61.720001,3897200
2010/4/8,61.599998,61.619999,60.82,60.98,4471500
2010/4/9,61.040001,61.41,60.919998,61.209999,2804500
2010/4/12,60.889999,61.209999,60.259998,60.349998,4550700
2010/4/13,60.220001,60.549999,59.759998,59.889999,4191400
2010/4/14,59.790001,59.869999,58.939999,59.619999,6763100
2010/4/15,59.41,59.439999,58.900002,59.029999,5754400
2010/4/16,58.959999,59.52,58.93,59.189999,5443700
2010/4/19,59.290001,59.529999,58.610001,59.470001,4040700
2010/4/20,59.700001,59.919998,59.330002,59.490002,3703300
2010/4/21,59.400002,59.560001,59.040001,59.509998,3033200
2010/4/22,59.23,60.41,59.119999,60.220001,3929700
2010/4/23,60.07,60.48,60,60.200001,4017400
2010/4/26,60.200001,60.299999,60.009998,60.07,2874600
2010/4/27,60.25,60.25,59.110001,59.169998,3948900
2010/4/28,59.299999,59.490002,58.740002,58.849998,3462400
2010/4/29,59.009998,59.450001,58.919998,59.349998,2883800
2010/4/30,59.130001,59.68,59.02,59.080002,4960700
2010/5/3,59.029999,59.5,58.900002,59.310001,4051400
2010/5/4,58.830002,60.369999,58.310001,59.880001,6046200
2010/5/5,59.75,60.830002,59.720001,60.360001,6438700
2010/5/6,58.950001,59.110001,55,58.029999,11175500
2010/5/7,57.860001,58.700001,56.830002,57.310001,9286700
2010/5/10,58.619999,58.990002,57.099998,57.52,8378900
2010/5/11,57.400002,58.299999,57.330002,57.939999,5442100
2010/5/12,58.060001,58.189999,57.66,57.880001,4151100
2010/5/13,57.810001,58.490002,57.599998,57.669998,5007700
2010/5/14,57.27,58.119999,57.209999,57.740002,4890500
2010/5/17,57.82,58.439999,57.529999,58.349998,4129100
2010/5/18,58.639999,58.990002,57.68,57.779999,4308800
2010/5/19,57.490002,58.48,57.490002,57.77,4350200
2010/5/20,57,57.52,56.549999,56.59,6755600
2010/5/21,55.93,57.73,55.790001,57.439999,5966100
2010/5/24,57.18,57.41,56.68,56.759998,3376800
2010/5/25,55.959999,56.5,55.389999,56.5,6120300
2010/5/26,56.599998,56.700001,55.709999,55.98,6146600
2010/5/27,57.34,59.259998,57.040001,58.740002,8764500
2010/5/28,58.790001,58.919998,58.02,58.25,3501100
2010/6/1,58.18,58.849998,57.73,57.98,3200400
2010/6/2,58.34,58.98,57.950001,58.950001,3898900
2010/6/3,58.23,59.16,57.299999,57.93,7219000
2010/6/4,57.450001,57.450001,56.009998,56.169998,5499000
2010/6/7,56.009998,56.619999,55.759998,55.849998,3414800
2010/6/8,55.689999,56.720001,55.549999,56.66,3726500
2010/6/9,56.68,57.75,56.580002,57.400002,4926900
2010/6/10,57.82,58.060001,57.299999,57.650002,3270300
2010/6/11,57.18,57.650002,57,57.52,3093000
2010/6/14,57.639999,57.900002,57.299999,57.52,2510800
2010/6/15,57.93,59.18,57.919998,59.16,5099900
2010/6/16,58.470001,58.889999,58.119999,58.34,2876900
2010/6/17,58.59,58.720001,57.990002,58.580002,2829000
2010/6/18,58.5,58.73,58.049999,58.209999,3657100
2010/6/21,58.5,58.700001,57.549999,57.779999,2795600
2010/6/22,57.990002,58.310001,57.540001,57.610001,2716300
2010/6/23,57.59,57.68,57.02,57.439999,2541200
2010/6/24,57.169998,57.450001,56,56.220001,3772600
2010/6/25,56.169998,56.860001,55.869999,56.439999,4488900
2010/6/28,56.59,57.200001,56.220001,56.650002,3043600
2010/6/29,56.18,56.369999,55.389999,55.630001,4298400
2010/6/30,55.52,55.669998,54.689999,54.830002,4609600
2010/7/1,54.73,55.16,54.220001,54.900002,5376600
2010/7/2,55.18,55.18,53.759998,54.23,3385200
2010/7/6,54.689999,54.709999,53.509998,54,3364700
2010/7/7,53.759998,54.330002,53.41,54.290001,4813000
2010/7/8,54.779999,55.790001,54.52,55.709999,7592700
2010/7/9,56.290001,56.290001,55.599998,56.189999,3895600
2010/7/12,56.049999,56.43,55.73,55.93,2644600
2010/7/13,56.150002,56.75,56.150002,56.509998,3207300
2010/7/14,56.389999,56.400002,55.869999,56.349998,3428200
2010/7/15,56.369999,56.59,55.849998,56.549999,2949400
2010/7/16,56.59,56.599998,54.950001,54.98,5020200
2010/7/19,55.130001,55.290001,54.599998,54.82,3575000
2010/7/20,54.369999,55.09,54.110001,55.09,6343500
2010/7/21,55.07,55.099998,53.490002,53.610001,4973800
2010/7/22,54.09,55.080002,53.84,54.900002,5284100
2010/7/23,55,56,54.779999,55.950001,4905800
2010/7/26,55.790001,56,55.450001,55.709999,3494400
2010/7/27,56.490002,57.360001,56.389999,57.209999,6930000
2010/7/28,57.220001,57.400002,56.41,56.509998,3077800
2010/7/29,56.740002,57,55.77,56.209999,3439800
2010/7/30,55.709999,56.889999,55.709999,56.709999,2973900
2010/8/2,57.060001,57.34,56.759998,56.84,3588100
2010/8/3,56.619999,56.91,56.380001,56.549999,3246800
2010/8/4,56.490002,57.610001,56.240002,57.400002,4364600
2010/8/5,56.740002,56.740002,55.860001,56.459999,4358300
2010/8/6,56.25,56.639999,55.759998,56.540001,3030000
2010/8/9,56.549999,57.490002,56.540001,57.16,2391800
2010/8/10,56.790001,57.310001,56.630001,56.98,2433600
2010/8/11,56.509998,56.619999,55.810001,55.869999,2847500
2010/8/12,55.490002,55.959999,55.369999,55.669998,3269000
2010/8/13,55.41,55.709999,55.060001,55.310001,2270600
2010/8/16,55.139999,55.5,55,55.369999,2395400
2010/8/17,55.509998,56.290001,55.380001,55.830002,2641600
2010/8/18,55.25,55.990002,54.990002,55.68,2909200
2010/8/19,55.439999,55.630001,54.610001,55.009998,2946200
2010/8/20,54.73,55.119999,54.48,55.040001,2896200
2010/8/23,55.330002,55.650002,54.849998,54.900002,2407500
2010/8/24,54.52,55.669998,54.049999,55.599998,6658600
2010/8/25,55.369999,57.400002,55.200001,57.07,5946600
2010/8/26,57.130001,57.150002,56.150002,56.279999,3854500
2010/8/27,56.389999,56.529999,55.41,56.189999,4254700
2010/8/30,56.209999,56.849998,56.07,56.07,2843100
2010/8/31,55.860001,57.060001,55.740002,56.5,4358700
2010/9/1,56.93,57.889999,56.759998,57.790001,3966400
2010/9/2,58.41,58.830002,57.650002,58.59,5011300
2010/9/3,59.049999,59.049999,58.189999,58.57,2779400
2010/9/7,58.25,59,58.200001,58.639999,2598500
2010/9/8,59.369999,59.419998,58.799999,59.209999,3412700
2010/9/9,59.5,59.509998,58.830002,58.939999,2622900
2010/9/10,59.299999,59.790001,59.139999,59.540001,2608600
2010/9/13,59.82,60.23,59.41,60.049999,3107800
2010/9/14,60,61.209999,59.939999,61.040001,4134800
2010/9/15,61.040001,61.27,60.91,61.189999,3523100
2010/9/16,61.16,61.330002,60.82,61.240002,2230600
2010/9/17,61.5,61.5,60.950001,61.290001,3495800
2010/9/20,61.509998,61.779999,60.970001,61.279999,3472500
2010/9/21,61.209999,61.529999,60.860001,61.27,3198500
2010/9/22,61.52,62.450001,61.52,62.330002,4806500
2010/9/23,62.049999,62.82,61.880001,62.5,3399200
2010/9/24,63,64.309998,62.779999,64.050003,4481600
2010/9/27,63.82,64.139999,63.630001,63.73,4704400
2010/9/28,63.860001,65.110001,63.689999,65,5453500
2010/9/29,64.93,65.220001,64.389999,64.669998,3585200
2010/9/30,64.870003,65,64.07,64.489998,4090300
2010/10/1,64.919998,65.25,64.5,65.050003,4037200
2010/10/4,65.059998,65.239998,64.529999,64.559998,4502900
2010/10/5,65,65,64.330002,64.660004,5698600
2010/10/6,63,65.459999,62.810001,65.410004,11502200
2010/10/7,65.220001,65.269997,64.43,65.260002,5048000
2010/10/8,64.400002,64.949997,63.939999,64.290001,5632000
2010/10/11,63.389999,64.489998,63.279999,64.32,2584800
2010/10/12,64.029999,64.089996,63.310001,63.34,4454400
2010/10/13,63.200001,63.959999,63,63.360001,5006500
2010/10/14,63.119999,63.860001,62.91,63.18,4214500
2010/10/15,63.459999,63.77,63.209999,63.700001,4033400
2010/10/18,63.419998,63.810001,63.130001,63.209999,2417000
2010/10/19,62.66,63.139999,61.900002,62.209999,3970600
2010/10/20,62.349998,63.07,62.25,62.610001,2785800
2010/10/21,62.560001,63.889999,62.540001,63.599998,4190700
2010/10/22,63.84,64.099998,63.220001,64.029999,2406400
2010/10/25,64.120003,64.769997,64.010002,64.110001,2764000
2010/10/26,63.52,64.190002,63.439999,63.68,2826200
2010/10/27,63.380001,63.380001,62.509998,62.98,3378700
2010/10/28,63.060001,63.25,62.5,62.799999,2385400
2010/10/29,62.610001,62.900002,62.52,62.77,2350900
2010/11/1,63.049999,63.619999,62.779999,63.279999,2790600
2010/11/2,63.549999,64.18,63.349998,63.720001,2988400
2010/11/3,63.529999,63.860001,62.709999,63.16,4080900
2010/11/4,63.889999,65.629997,63.889999,65.480003,5801500
2010/11/5,65.529999,66.040001,65.230003,65.400002,3039900
2010/11/8,64.860001,64.870003,64.239998,64.809998,2613500
2010/11/9,64.699997,64.779999,63.959999,64.220001,2600000
2010/11/10,64.019997,64.5,63.939999,64.449997,2680800
2010/11/11,64.099998,65.419998,63.91,65.349998,3798400
2010/11/12,64.879997,65.699997,64.650002,65.199997,3703200
2010/11/15,65.449997,65.989998,65.400002,65.480003,2949000
2010/11/16,65.190002,66.400002,64.57,65.739998,6198600
2010/11/17,66.019997,67.129997,66.019997,67.019997,5484600
2010/11/18,67.25,67.489998,66.32,66.410004,3671100
2010/11/19,66.260002,66.720001,66.120003,66.559998,2710300
2010/11/22,66.269997,67.339996,66.18,67.260002,2827200
2010/11/23,66.970001,67.07,66.269997,66.900002,2985800
2010/11/24,67.169998,68,67.169998,67.540001,2688000
2010/11/26,67.110001,67.470001,67.029999,67.220001,952900
2010/11/29,66.900002,67,66.330002,66.970001,2350200
2010/11/30,66.589996,67.919998,66.510002,67.610001,3305000
2010/12/1,68.209999,68.800003,68.010002,68.309998,3038100
2010/12/2,68.519997,69.110001,68.129997,69.010002,3288800
2010/12/3,68.870003,69.260002,68.239998,68.389999,3092300
2010/12/6,68.330002,69.410004,68.330002,69.190002,3366000
2010/12/7,69.699997,70.059998,69.120003,69.639999,5115400
2010/12/8,69.379997,69.709999,68.529999,69.25,3691400
2010/12/9,69.699997,71.129997,69.279999,71.019997,6777000
2010/12/10,70.75,71.279999,70.620003,71.25,3555900
2010/12/13,71.129997,71.489998,70.529999,70.739998,5797100
2010/12/14,70.699997,71.540001,70.599998,71.209999,2682500
2010/12/15,71.010002,71.449997,70.889999,71.050003,3522600
2010/12/16,71.050003,72.230003,71.010002,72.120003,3449700
2010/12/17,71.93,72.440002,71.699997,71.839996,6457100
2010/12/20,71.889999,72.550003,71.760002,72.309998,2631800
2010/12/21,72.57,72.769997,72.260002,72.32,2200500
