Date,Open,High,Low,Close,Volume
2010/2/1,149.820007,155.25,149.210007,153.130005,12980800
2010/2/2,153.649994,157.5,153.649994,156.940002,17246600
2010/2/3,157.919998,159.940002,157.110001,157.229996,16785200
2010/2/4,155.270004,156.059998,150.449997,150.679993,18895000
2010/2/5,150.820007,154.460007,148.869995,154.160004,18759200
2010/2/8,154.270004,154.600006,150.820007,151.100006,10257300
2010/2/9,152.699997,153.529999,149.649994,152.490005,14017300
2010/2/10,152.770004,155.350006,151.759995,153.630005,10555300
2010/2/11,154.399994,155.320007,152.25,154.050003,11163400
2010/2/12,152.369995,154.5,151.139999,153.929993,10293200
2010/2/16,155.300003,157.740005,154.600006,157.399994,11497100
2010/2/17,158,158.190002,155.809998,157.259995,10070000
2010/2/18,155.610001,156.589996,154.880005,155.729996,10991100
2010/2/19,154.509995,157,154.490005,156.179993,8693000
2010/2/22,157.199997,157.970001,156.029999,156.710007,7375500
2010/2/23,156.809998,160.210007,155.910004,156.699997,15696000
2010/2/24,157.339996,159.25,156.869995,158.330002,8361500
2010/2/25,156.229996,156.440002,154.320007,156.440002,10519900
2010/2/26,156.259995,156.990005,155.259995,156.350006,7812700
2010/3/1,156.509995,158.289993,156.169998,156.539993,6522800
2010/3/2,157.179993,159.75,156.910004,158.75,11986400
2010/3/3,159.039993,159.449997,157.229996,157.720001,10006000
2010/3/4,158.25,163.850006,158.110001,163.610001,15439500
2010/3/5,165.110001,168.25,165,167.179993,12226700
2010/3/8,167.880005,170.690002,167.460007,169.839996,9344500
2010/3/9,169.220001,172.199997,168,168.850006,12958700
2010/3/10,170.259995,172.339996,168.869995,171.940002,13107200
2010/3/11,171.399994,173.570007,171.100006,173.509995,8910600
2010/3/12,175.009995,176.339996,174,174.960007,10216900
2010/3/15,173.949997,175.199997,170.380005,173.529999,13958600
2010/3/16,174.330002,176.419998,173.559998,176.190002,11687700
2010/3/17,176.860001,177.880005,175.570007,176.639999,10138600
2010/3/18,176.199997,177.75,175.660004,177.449997,6883500
2010/3/19,177.899994,178.210007,175.949997,177.899994,10896600
2010/3/22,176.210007,176.949997,175.229996,176.160004,7320400
2010/3/23,176.25,176.809998,173.289993,174.830002,10804800
2010/3/24,173.639999,175.960007,173.639999,174.410004,8396100
2010/3/25,175.240005,178.729996,174.779999,174.899994,9534300
2010/3/26,175.380005,175.479996,171.910004,172.869995,11811500
2010/3/29,173.869995,174.429993,171.639999,174.050003,11785600
2010/3/30,174.259995,174.779999,170.699997,171.380005,8184600
2010/3/31,170,171.660004,169.850006,170.630005,8243200
2010/4/1,171.720001,172,169.5,170.220001,6480600
2010/4/5,170.679993,173.369995,169.770004,173.160004,6135000
2010/4/6,172.610001,173.889999,172.149994,172.899994,7743600
2010/4/7,172.889999,177.899994,172.809998,176.360001,13887200
2010/4/8,176.100006,180.800003,175.279999,179.5,10668800
2010/4/9,180.279999,181,177.5,179.119995,8462000
2010/4/12,179.360001,180.380005,177.839996,177.839996,6040800
2010/4/13,177.559998,180,177.110001,179.25,6466400
2010/4/14,183.910004,185.940002,183.070007,184.919998,12556400
2010/4/15,185.539993,185.600006,183.660004,184.270004,7838700
2010/4/16,183.619995,186.410004,155.550003,160.699997,102043700
2010/4/19,155.600006,163.729996,155,163.320007,54299200
2010/4/20,166.440002,166.710007,158,159.979996,42196600
2010/4/21,161.669998,163.139999,157,158.929993,30371000
2010/4/22,157.929993,162,156.289993,159.050003,24823000
2010/4/23,160.190002,160.720001,157,157.399994,14916000
2010/4/26,156.720001,156.990005,151.520004,152.029999,30940700
2010/4/27,150.25,156.190002,150.149994,153.039993,34516800
2010/4/28,156.660004,157.649994,154.690002,157.009995,21226100
2010/4/29,159.550003,161.050003,158.339996,160.240005,18464300
2010/4/30,151.899994,152.5,143.300003,145.199997,73187900
2010/5/3,147.839996,150.649994,146.539993,149.5,28282700
2010/5/4,149.029999,152.350006,147.830002,149.449997,30313400
2010/5/5,148.100006,151.220001,147.199997,148.190002,18355200
2010/5/6,147.479996,148.630005,139.059998,142.320007,22984700
2010/5/7,145.380005,146.550003,141.5,142.990005,21268500
2010/5/10,149.089996,149.899994,141.199997,143.830002,23098200
2010/5/11,142.399994,145.5,141.550003,141.970001,15497900
2010/5/12,144.240005,147.649994,142.279999,147.199997,15457000
2010/5/13,148.360001,148.449997,144.419998,144.649994,11517900
2010/5/14,143.410004,144.149994,141.899994,143.229996,10977400
2010/5/17,143.470001,144.300003,138.529999,142.639999,16330100
2010/5/18,143.690002,143.75,136.600006,137.360001,18025300
2010/5/19,137.949997,140.130005,136.100006,140.100006,18079900
2010/5/20,138.199997,139.490005,135.75,136.100006,16279200
2010/5/21,137.080002,143.449997,136.25,140.619995,25553400
2010/5/24,142,142.949997,136.509995,136.690002,16556800
2010/5/25,134.729996,143.190002,134.199997,142.559998,21490900
2010/5/26,144.289993,145.800003,139.690002,140.300003,17073900
2010/5/27,142.929993,145.050003,141.039993,144.949997,12910200
2010/5/28,144.419998,145.800003,143.100006,144.259995,10683700
2010/6/1,144.259995,146.399994,141.699997,141.860001,9455200
2010/6/2,142,145,141.139999,144.830002,7668400
